epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.63,1.11739,2.02,1.49978,0.57387,0.14994,0.1711,0.11028,1.38699,1.67718,1.83062,0.00333053,0.00333053,0.00333053
2,2038.1,1.0958,1.44494,1.44477,0.67349,0.24883,0.25448,0.16901,1.3625,1.43298,1.79985,0.00653192,0.00653192,0.00653192
3,3047.6,1.18454,1.63446,1.53177,0.58874,0.14073,0.16653,0.09906,1.51862,2.09936,1.93095,0.00960131,0.00960131,0.00960131
4,4054.45,1.22354,1.71073,1.56214,0.5853,0.18071,0.17617,0.10863,1.4114,1.64637,1.89578,0.009406,0.009406,0.009406
5,5062.54,1.16413,1.55506,1.51109,0.68582,0.22183,0.26233,0.17161,1.37515,1.34853,1.78934,0.009208,0.009208,0.009208
6,6070.25,1.12038,1.42098,1.47377,0.67978,0.26877,0.29178,0.19898,1.28142,1.18473,1.68561,0.00901,0.00901,0.00901
7,7078.64,1.09062,1.34073,1.45787,0.67335,0.25555,0.29218,0.19384,1.28835,1.18998,1.69843,0.008812,0.008812,0.008812
8,8086.71,1.06368,1.26883,1.43651,0.64171,0.3057,0.36075,0.25471,1.22992,1.05399,1.6567,0.008614,0.008614,0.008614
9,9094.52,1.03559,1.21561,1.41408,0.73011,0.24516,0.2886,0.19855,1.24682,1.2152,1.66502,0.008416,0.008416,0.008416
10,10101.6,1.02633,1.15863,1.39859,0.68854,0.28358,0.32792,0.22912,1.2026,1.05608,1.61816,0.008218,0.008218,0.008218
11,11109.8,1.002,1.10858,1.38244,0.6933,0.29348,0.36479,0.25716,1.22654,1.03022,1.64217,0.00802,0.00802,0.00802
12,12119.5,0.9969,1.0925,1.382,0.67655,0.29667,0.35963,0.25399,1.18913,0.91816,1.6075,0.007822,0.007822,0.007822
13,13128.6,0.97871,1.06241,1.37245,0.63363,0.35401,0.36487,0.26708,1.14593,0.95251,1.5519,0.007624,0.007624,0.007624
14,14137.6,0.96341,1.02831,1.35557,0.66892,0.33534,0.39396,0.27826,1.16673,0.96443,1.57303,0.007426,0.007426,0.007426
15,15146.9,0.95483,0.99435,1.34861,0.69781,0.3411,0.39037,0.28625,1.15205,0.8778,1.5733,0.007228,0.007228,0.007228
16,16155.8,0.94687,0.98275,1.34163,0.65549,0.33943,0.39427,0.28707,1.15169,0.93094,1.5514,0.00703,0.00703,0.00703
17,17165,0.9343,0.94439,1.33183,0.67214,0.3134,0.38742,0.28601,1.13072,0.93803,1.54761,0.006832,0.006832,0.006832
18,18174.1,0.92448,0.92368,1.32511,0.62493,0.34965,0.39258,0.28214,1.13417,0.87247,1.5398,0.006634,0.006634,0.006634
19,19184.3,0.91792,0.89987,1.31902,0.65525,0.36003,0.40313,0.29039,1.154,0.88228,1.55931,0.006436,0.006436,0.006436
20,20194.6,0.90335,0.88035,1.31432,0.67927,0.36206,0.40836,0.29912,1.1324,0.87422,1.52834,0.006238,0.006238,0.006238
21,21204.4,0.89185,0.85785,1.30273,0.57829,0.40433,0.44089,0.32415,1.14171,0.83994,1.55754,0.00604,0.00604,0.00604
22,22214.9,0.88925,0.84698,1.29678,0.62484,0.36489,0.41386,0.30396,1.13426,0.83078,1.54312,0.005842,0.005842,0.005842
23,23224.9,0.87932,0.82441,1.28962,0.63296,0.36797,0.40654,0.30002,1.10567,0.83979,1.52241,0.005644,0.005644,0.005644
24,24234.5,0.87497,0.80662,1.28971,0.4697,0.44482,0.41694,0.30594,1.12317,0.84378,1.53002,0.005446,0.005446,0.005446
25,25244.6,0.86119,0.78686,1.2815,0.71315,0.32722,0.41309,0.30325,1.11101,0.82095,1.51345,0.005248,0.005248,0.005248
26,26254.6,0.8567,0.76899,1.27607,0.48666,0.39897,0.41908,0.30812,1.11484,0.8482,1.51699,0.00505,0.00505,0.00505
